study,round,start_date,end_date,seroprev,lower,upper,age_lower,age_upper,test_type
React 1,1,01-05-2020,01-06-2020,0.16,0.1,0.26,5,12,swab
React 1,1,01-05-2020,01-06-2020,0.15,0.08,0.27,13,17,swab
React 1,1,01-05-2020,01-06-2020,0.27,0.18,0.43,18,24,swab
React 1,1,01-05-2020,01-06-2020,0.17,0.12,0.26,25,34,swab
React 1,1,01-05-2020,01-06-2020,0.14,0.09,0.21,35,44,swab
React 1,1,01-05-2020,01-06-2020,0.14,0.09,0.2,45,54,swab
React 1,1,01-05-2020,01-06-2020,0.1,0.06,0.15,55,64,swab
React 1,1,01-05-2020,01-06-2020,0.07,0.05,0.12,65,100,swab
React 1,2,19-06-2020,08-07-2020,0.05,0.02,0.1,5,12,swab
React 1,2,19-06-2020,08-07-2020,0.04,0.02,0.11,13,17,swab
React 1,2,19-06-2020,08-07-2020,0.05,0.02,0.13,18,24,swab
React 1,2,19-06-2020,08-07-2020,0.11,0.07,0.17,25,34,swab
React 1,2,19-06-2020,08-07-2020,0.09,0.06,0.14,35,44,swab
React 1,2,19-06-2020,08-07-2020,0.08,0.05,0.12,45,54,swab
React 1,2,19-06-2020,08-07-2020,0.11,0.07,0.15,55,64,swab
React 1,2,19-06-2020,08-07-2020,0.06,0.04,0.09,65,100,swab
React 2,1,20-06-2020,13-07-2020,7.9,7.3,8.5,18,24,antibody
React 2,1,20-06-2020,13-07-2020,7.8,7.4,8.3,25,34,antibody
React 2,1,20-06-2020,13-07-2020,6.1,5.7,6.6,35,44,antibody
React 2,1,20-06-2020,13-07-2020,6.4,6,6.9,45,54,antibody
React 2,1,20-06-2020,13-07-2020,5.9,5.5,6.4,55,64,antibody
React 2,1,20-06-2020,13-07-2020,3.2,2.8,3.6,65,74,antibody
React 2,1,20-06-2020,13-07-2020,3.3,2.9,3.8,75,100,antibody
Biobank,1,27-05-2020,06-07-2020,10.8,9.4,12.3,0,30,antibody
Biobank,1,27-05-2020,06-07-2020,8.2,7.2,9.3,30,39,antibody
Biobank,1,27-05-2020,06-07-2020,7.2,6.2,8.4,40,49,antibody
Biobank,1,27-05-2020,06-07-2020,7.1,6.2,8,50,59,antibody
Biobank,1,27-05-2020,06-07-2020,6.4,5.6,7.2,60,69,antibody
Biobank,1,27-05-2020,06-07-2020,5.4,4.7,6.1,70,100,antibody
gov,1,26-07-2020,16-08-2020,7.3,5.97674418604651,8.86046511627907,17,29,antibody
gov,1,26-07-2020,16-08-2020,6.7,5.58139534883721,8,30,39,antibody
gov,1,26-07-2020,16-08-2020,5.1,4.09302325581396,6.30232558139535,40,49,antibody
gov,1,26-07-2020,16-08-2020,5.5,4.53488372093024,6.55813953488372,50,59,antibody
gov,1,26-07-2020,16-08-2020,3.6,2.69767441860465,4.69767441860465,60,69,antibody
gov,1,26-07-2020,16-08-2020,2,0.953488372093025,4.2093023255814,70,84,antibody
React 1,3,24-07-2020,11-08-2020,0.02,0,0.06,5,12,swab
React 1,3,24-07-2020,11-08-2020,0.07,0.03,0.14,13,17,swab
React 1,3,24-07-2020,11-08-2020,0.08,0.04,0.18,18,24,swab
React 1,3,24-07-2020,11-08-2020,0.05,0.03,0.1,25,34,swab
React 1,3,24-07-2020,11-08-2020,0.04,0.02,0.08,35,44,swab
React 1,3,24-07-2020,11-08-2020,0.01,0,0.03,45,54,swab
React 1,3,24-07-2020,11-08-2020,0.02,0.01,0.04,55,64,swab
React 1,3,24-07-2020,11-08-2020,0.04,0.02,0.06,65,100,swab
React 1,4,22-08-2020,07-09-2020,0.1,0.06,0.18,5,12,swab
React 1,4,22-08-2020,07-09-2020,0.07,0.03,0.15,13,17,swab
React 1,4,22-08-2020,07-09-2020,0.25,0.16,0.41,18,24,swab
React 1,4,22-08-2020,07-09-2020,0.14,0.09,0.22,25,34,swab
React 1,4,22-08-2020,07-09-2020,0.15,0.1,0.21,35,44,swab
React 1,4,22-08-2020,07-09-2020,0.08,0.05,0.12,45,54,swab
React 1,4,22-08-2020,07-09-2020,0.07,0.05,0.11,55,64,swab
React 1,4,22-08-2020,07-09-2020,0.04,0.02,0.06,65,100,swab
